Text,Emotion
@tapulous You always catch me away from my computer.  ?,neutral
i cant give you all what i wanted to and i feel it in my aching heart my sweaty palms and my sleep deprived addled brain,sadness
i feel ok much better and stronger than i did a few weeks ago,joy
@dhempe @roadrippersid http://twitter.com/friends?page=20 press previous on that page.,neutral
i didn t feel all that trusting of anybody,joy
"HOME!!!  from my relatives. my sissy, @jennyisms, posted pics of her and our cupie cousin Audrey.  ???",neutral
omg i am in so much pain  ouchies,surprise
i must comment that i believe medications are life saving in many situations but i also feel that it is important to report the full story,joy
i am really enjoying my time here but ever since fourth of july passed and i reminisced about nyc and home i have been feeling a bit homesick,sadness
i squirmed against it but the pain was starting to get to him so he stopped feeling resigned,sadness
i feel and however tragic their situation that s no reason to increase the wage,sadness
"Takes the 554 to Willoughby, St. Nelle, Glie, Old Oak Center, The Big Mall.  So many places to choose from....",neutral
i started to open up about it i started to feel more like myself the stephanie who isn t embarrassed by life s setbacks who tackles difficult situations with humor and honesty,sadness
@Snakecharmers It's becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.,neutral
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,anger
thanx @MsLaurenLondon,neutral
i feel like i am ok at least i pray every night that i am,joy
i allowed people tonight to make me feel as though i was far less superior to them because i felt less attractive less popular and less able to be part of a community,joy
"Okay I'm about to &quot;crawl&quot; into bed and ummm ummm. We are about to talk. We need to talk about somethings, Good Night Tweeters.",neutral
i feel thrilled about learning,joy
i think about talking to a lawyer and finishing this i feel anxious,fear
Im calling into Radio Disney now.i made it through but me being the idiot i am cut it off by accident...now its just ringing and ringing,neutral
i feel insulted video pete edochie responds to death hoax i feel insulted a href http olajideolafunmbi,anger
i don t feel amazing or good afterwards then i m not pleased,joy
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",surprise
im feeling low and forgotten,sadness
i feel like the helpless duckie target for the commies and feds while at other times i want to run and hide,fear
i think sometimes feelings of obligation duty and expectation get in the way of trusting our intuition to guide us in the actual right direction,joy
@eridge I was just thinking that,neutral
i was feeling disillusioned,sadness
i feel foolish for all these long runs and extra miles if the best i can muster is nearly seconds per mile slower than i was a year ago,sadness
i still need to feel listened to even if iam idiotic and naive in relation,sadness
i mean i get that its nice to have someone who cares about you like that that a relationship can be a great thing and can feel wonderful but im only so im not looking for that in my life yet,joy
i feel my foot is aching my thigh is numb from the knee to the hip although i haven t gained weight i feel like it is shifting to my middle and i feel like i m a little trapped in this crumbling body,sadness
i feel very resolved yet somehow very depressed,joy
im on twitter mobile... confusin!!!! lol im knda slow,neutral
i feel all glad not being with you,joy
@aostheller Oceans 12,neutral
@giblahoj how sweet,neutral
Heading into Glasgow for a rehearsal for my upcoming show,neutral
i wish i was at the beach already,neutral
i feel happy lite and very grateful,joy
i inspect samples of wheat i started feeling that i was a suspicious character,fear
@berdtwit Thx 4 sharing!,neutral
i am feeling pretty worthless right now,sadness
i do feel slighted when some people use their piece of the cyber world to be rude towards me,anger
"Eh, I've had better. I'm excited to see ryan hurley tomorrow",neutral
im constantly feeling alone,sadness
i feel even more disturbed by that than what happened prior to me going to sleep,sadness
i feel assured that this is gods plan for me,joy
i am still numb i question everything about what i feel and terrified to trust all my feelings,fear
@Bearablescents The SiteWarming parties usually do very well....if I do say so myself.    #sigjeans,neutral
i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness,fear
i feel i am wrongly punished or that my misbehavior was unavoidable i am allowed to argue over whether or not i should be punished or how severely,sadness
Excited about having an empty apartment to ourselves for a little while,surprise
@ashmohazel @immackmaine @its_erincharde @brando2711 hey you guys should invite me out...moody is my only friend these days,surprise
i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,joy
@bobbyshirley Anything is accepted except Christianity. Google the discussion thread &quot;sexuality and religion&quot; and SLED for Second Life.,neutral
drying my hair,neutral
i feel like i m in a frantic race with the clock and i can t figure out why,fear
i am feeling a tad lonely about his absence now,sadness
Ugggh school is so boring! I cant wait for this year to be over. So stressed -.= i shoulda stayed home today....,neutral
i started to feel resentful of the whole situation and that s when something clicked,anger
i feel joyful and carefree,joy
i have to admit i have been feeling very disheartened and disillusioned with the whole publishing community for months,sadness
@ALOliver i bet they did  some people have no ideia or standards  have a lovely time the pair of you,surprise
i feel fantastic now but am terrified of injuring my back again we provide our sizes for the following items,joy
@Clubpenguinfan3 I guess that boner story isn't so funny I've had TONS of boner moments like that unfourtantly,neutral
i remember feeling such a joyful feeling when i was there,joy
i feel like i should feel contented but i am not,joy
i am feeling so ridiculously uncomfortable these days the rising temperatures dont help and i have added wicked heartburn to the list of things keeping me up at night,fear
i am in italy and i feel as useless as i could possibly feel i need to occupy my time not to get crazy,sadness
i feel like i m always stressed worried or upset about something,sadness
im feeling insecure and sad because i dont know what to do with my book,fear
i feel like the only intelligent person here right now,joy
i am certified via ace and i love what i do but lately i feel like a fake,sadness
The sun has gone in!,surprise
"oh dear, they selected the worst bit for highlight for soprano guy",surprise
i feel very listless,sadness
i feel for the natives who welcomed me and others with open arms and hearts back then and wonder how they cope,joy
"@TsWendyWilliams AND, We have your fabulous interracial gangbang!  WOOT!",neutral
i feel so heartbroken tonight,sadness
i feel even more pressured to cook healthy meals and not eat out do thorough preschool lessons with my boys keep the house spotless exercise serve the church and community and be a happy loving wife at all times,fear
should be going nfg tonight,neutral
i just can feel so pain but nothing to do blank and speechless,sadness
i mention how you exfoliate at the same time save loads of money and feel divine,joy
im just saying that if i did they would make me feel successful,joy
i feel honored to take part in the upcoming sight amp sound greatest film poll,joy
"@4ut I am ok, I think I will just take the attitude that Mothers Day is an invented Hallmark holiday from now on",surprise
i feel so disgusted with myself she allows me to see a glimpse of myself through her eyes and somehow miraculously i feel that maybe i can conquer the world after all,anger
i realized today that i dont know what i want and thats the primary reason why i feel so dissatisfied so often,anger
i feel so cranky irrationally,anger
i hope to make blood clots feel unwelcome in my body in any way possible as one of my new years resolutions,sadness
ive had a few moments the past couple of days were i feel so restless like i need to be moving around constantly,fear
i feel like an abused puppy dog,sadness
is goin out  to  dinner!,neutral
i can feel like crap and be safe,joy
i feel like the awkward outsider and start to feel homesick,sadness
i stepped outside and became annoyed because the temperature was warm and it was raining it felt as if the weather was conspiring to keep me from feeling festive,joy
i feel totally exhausted and over tired,sadness
i feel all rushed to get ready for tomorrow,anger
i feel my children are in harms way i feel frightened,fear
First Day for research at Edmonton General,neutral
i used to feel very isolated in the far north of scotland but as social media and internet becomes more all encompassing the links to others becomes easier and the chance to be part of live discussion and participate in relevant and cutting edge debate and changes as they happen are amazing,sadness
i never feel hesitant or timid,fear
i came away from the experience feeling rather confused and it left a sour taste in my mouth,fear
"well i guess it all depends,undergarments.",neutral
im still feeling shaky i realized that i felt intolerably hot all the time which i may mention is the polar opposite of what i normally feel like,fear
i really feel like there s a talented artist buried somewhere inside of ethan,joy
i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,joy
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,surprise
ive never owned a mac have always used microsoft and just feel disillusioned with the way theyve managed this roll out all the glitches things not working and overall that vista has been out for months and it is only now that it is starting to become stable thanks to update after update,sadness
@MattHalveland no,neutral
i think sleeping more is good since ive been feeling sleep deprived all summer,sadness
im going through some feels today and ive got to admit theyre pretty unpleasant,sadness
my sister just ripped my heart outta myy fukkn chest.  im super hurt right now. she's all i ever needed in this life.,surprise
i feel so embarrassed of myself for even having the nerve to post them all up for everyone else to read,sadness
@RobertPattz hey dude im finishing my lullaby  dude i saw a pic of you w/ long hair umm lets just say keep it short ha,neutral
i guess you could say i am teeter totering right now on the edge and i feel like im dangerous,anger
@questlove  ok just between U and me  and all of  our  followers on twitter what do U really think of @jimmyfallon ? lol,surprise
http://twitpic.com/4wppg - Oh yeah  Bring on Morning tea tomorrow.,neutral
i dream i feel like i am finally not burdened by all of the things that i feel just crushing me when im awake,sadness
i feel eager to begin and excited at the prospect of the personal growth and deepening of my relationship with christ which i expect to see over the course of the next days,joy
i feel greedy and selfish,anger
@mohdrafie Theres no such thing,neutral
i am going to get out my soapbox and talk about something that i feel really passionate about,joy
i should go to sleep but i m feeling reluctant to let go of the day,fear
(We got *both* kinds of music here...),neutral
i type this i feel like one of those unfortunate animals that gets caught in washing machines and somehow survives much lighter ragged and half dead,sadness
im back with another skincare review well actually i feel reluctant to make a review of sectret key snail egf repairing gel cream because i even stopped using it switched back to my second jar of a href http sparkleapple,fear
@niveauxbandit heyy are you ok...? i know it sucks having her in you dorm... but i assure you it will be ok,surprise
i like to be comfortable and usually silence helps although at times i absolutely need music and a couple of hours off just so that i don t feel rushed,anger
i choose mouse because i feel cute as of now that i am i tripped over the piles of sand repeatedly while vigorously directing,joy
i didn t binge at all during the weekend and had more energy to clean the house something i had put off for weeks even if these pills didn t really make me lose any weight i wanted them because i hardly felt the need to eat and didn t feel totally and completely exhausted,sadness
i swear he had feelings that teddy i was so convinced of that and i was very very careful to always make him feel special and more loved than any of my other toys and teddies,joy
i struggled to come up with an interesting title for this blogpost but its about lipbalms and i feel most people would consider this to be a boring subje,sadness
i am so tired of feeling sorry for myself,sadness
i was so stubborn and that it took you getting hurt for me to admit even to myself how i feel i haven t been very considerate of you in that respect,joy
trying to plan a huge birthday party by myself,neutral
i should say its giving him that sweet little feeling of being fucked,anger
i wake up its the uncomfortable feeling i have that i was just mentally abused by my own thoughts and i can t for the life of me remember why and then when i do remember why i honestly wish i hadn t,sadness
i feel very unfortunate to have only in the last couple days have even discovered that seventy times seven even existed and hearing the twosongs together brought somewhat of a closure to a certain part of my musical life,sadness
i feel like i should give it a shout out because it was that delicious,joy
i feel that as this greedy obsession continues sustainabilitys growth will be hindered,anger
#f1 in a few hours guess who is sleepin in the living room,neutral
i have never spent that much on any cosmetic product before and i feel foolish for doing so but i love the way this stuff feels on my skin,sadness
i feel like hes sure of it,joy
i as many others are feeling helpless that we as a world can not hold the grieving parents hands especially the mothers and grandmothers of nigeria as they desperately wait for assistance to have their girls return back home safely and let their laughter ring out through their home once again,fear
i am feeling quite pleased with myself at this point,joy
nature has just called me  BRB,neutral
i feel frightened i hear a mighty roar,fear
i absolutely cannot wait for september th to roll around i feel calm i suppose in my waiting,joy
i truly feel but its somehow not enough for me to hate him or to get mad,anger
i feel like im being taken advantage of and on top of that i am really bothered by my boyfriends sloppy behaviors,anger
i feel like a confused year old that has no control,fear
i feel woefully inadequate lost and fearful he will do whatever needs to be done,sadness
i look at my life my beautiful family the fact that i feel truly blessed and that all that ive asked from god and the universe all that has happened and beyond how my imagination fathomed it,joy
i can flirt along with the best of em and i rarely if ever feel intimidated by male identifying folks or the idea of striking up a conversation with them regardless of how hopelessly attracted i am to them,fear
what a lovely summery morning! Shame I have to be in work!!!!,surprise
@dayawonton:  I've been!,neutral
i feel that precious girl kick or see her face on the sonogram it makes it all worth while,joy
i feel so stupid because the first week of it fair wasnt even worth working for,sadness
"@Zanna85 Bill can take me to Fangtasia and hit this shot anytime! &quot;Roads, where we're going we don't need roads.&quot; LOVE that part!",surprise
is playing Uno  http://plurk.com/p/rprl0,neutral
im feeling uncharacteristically gloomy,sadness
@NikkiBenz There is a cool scene at the end that ties in with another Comic Book movie.,surprise
i feel called to do and delighted in doing,joy
i seriously have no feeling when i got rejected in a sense i am neither happy sad or average,sadness
i always conceal my real true feelings because im afraid of being venerable and taking advantage of because well that happened before and it really destroyed me,fear
i feel very agitated and sort of lost,anger
i have a great family and i feel as if she has missed a great deal by not electing to meet them,sadness
"@equivocality nah, they look better  but i label the tops with the latin names and only access them that way... no need to turn anything!",neutral
@blogviet Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,neutral
i got up and started doing the one thing that always gives me joy even when im feeling lousy,sadness
i feel so empty and cold inside,sadness
i feel insulted whenever people say guys cant cry or feel emotional,anger
i am feeling fairly contented,joy
k ladies and gents...time for us to go ni ni...trishy and i will tweet at you lata...peace,neutral
i feel like ive ever perfectly captured this beauty this perfect girl,joy
im feeling like a shitty person right now because i just did or worse,sadness
i feeling so shitty today then,sadness
@mileycyrus i dont think you can vote anymore! i tried,neutral
i was feeling fairly comfortable and i could think out a plan now,joy
@PC_Tech I just woke up a little while ago i did sleep a couple of hours lol i'm wide awake now,neutral
id really hop to it quickly because i knew theyd cry and yell if they didnt get it quickly and i also knew scott was feeling rotten,sadness
i had been feeling like a lost duck because experiences in my life have aged my soul faster than my physical age and i didnt have many who understood,sadness
ive had a change in medication and am feeling productive lately so lets see how this goes shall we,joy
@jamesshore @KentBeck sounds like a challenge then  I can see it would be useful to be able explicitly  schedule threads...,neutral
i am by no means very claustrophobic when crunched up like that i can t help but feel a little agitated,fear
First time to Twitter..,neutral
@tealshocked thats because im getting a new phone since my other phone dont work at all,surprise
I dont care what kind of graphics or engines video games have nowadays. They are nothing compared to The Oregon Trail and Carmen Sandiego,surprise
i feel so rejected and unwanted,sadness
i cant help but feel someones going to end up pissed at me,anger
i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man,joy
i wound up feeling pleased with how tightly paced the film is,joy
i guess that s where the phrase down in the dumps comes from try this think of something that is mildly upsetting for you some sort of negative emotion perhaps you were stuck in traffic or there was something on the news this morning that made you feel a bit grumpy,anger
i dont want to put that pressure upon the minor because i feel like it would be more useful without it,joy
i feel so honored to have so much support from my friend mona all my wonderful customers and followers on my facebook pages and my parents who drove hours just to be in the front row and help and support my endeavor,joy
Is at work  ohwell need money so : D,neutral
i love about my job i still feel dissatisfied,anger
i have been feeling pretty fabulous for me that means my pain is about a out of for the past three days,joy
meeting just in time that iï¿½m trying to win something @SEGA prize's friday!,surprise
i feel pretty awful about that,sadness
Peeps! Me blackberry messenger is kwijt..  no pinging :p,neutral
@hihat7 Go to the setting on the iPod/iPhone home screen &amp; scroll to the bottom &amp; you will find twitterfon settings,neutral
i feel like the legality of our marriage is in tatters thanks to all the hateful lies and messaging from the prop campaign,anger
i still have a way to go but i am so much closer to the finish line than the start line and that feels amazing,joy
i just didnt feel like taking her bitchy attitude,anger
i forgive myself for accepting and allowing myself to feel uncertain about my application within this i reveal that i feel uncertain within myself,fear
i can pay the bills and still have some cash in the bank should leave me feeling pretty satisfied right,joy
i would feel lethargic and have indigestion after eating too much,sadness
i feel pretty fantastic,joy
i am made to feel useless,sadness
is helping @karenegge making a twitter account,neutral
i feel so worthless and weak what does he have to say that s what i want to find out,sadness
I do the same thing to my parents and my best friend too,neutral
i feel honored to have been on the show and my students were very excited for me giardina said,joy
@laubow_  me too!,neutral
Dakota just had a her first bath since being spayed... She was in Heaven!,surprise
i feel the need to knock one of my beloved darlings off of my list to make room for hugh laurie aka dr,joy
i feel my inner happy present once again,joy
i feel thats a valuable piece of consumer knowledge and one item of many ive added to my good to know stores,joy
i feel so blessed and beyond thankful for the opportunity to paint for my readers its been the best,joy
i would imagine someone to have achieved much more yet i feel no desire to reach out towards the greedy hands and caretakers and give them my sand from the hourglass of mine,anger
"I'm not. If it looks like a legitimate profile, I'll counter-follow.  @leighgrace Are you picky about who you follow back? Why or why not?",neutral
Re-pinging @NUNU_B: Is it pathetic that my mom is my best friend  hell know I talk to my mom bout everything everythinggg,neutral
i am feeling cranky today is due to me not getting enough sleep due to the unexpected long outing yesterday night,anger
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,joy
i feel disgusted with my body,anger
i am feeling lousy right now,sadness
i can say that i feel content,joy
i was feeling very pressured,fear
i was feeling impatient and took pills,anger
i felt a lot of guilt for not trying harder and finding other solutions to continue breastfeeding much farther past months but as time goes on i feel content knowing i did the best i could with what resources and support i had at the time,joy
@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,surprise
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear
i feel so empty a href http uwilnevrknow,sadness
i try not to make anyone feel uncomfortable,fear
@Shadez thanks  this one will be a hit. @Nani981 has been a patron since 2001,neutral
@ gadgetopia need to DM you but you're not following me.   Will send email.,neutral
Goooooooood Mornin Tweeps! It's going to be an Awesome Monday - I can already tell... not even 8am and my inbox is clean,surprise
@Belly9Maternity tooth fairy is coming to ur house tonight.,surprise
@MsAKAtainment I know right  but hopefully something comes up though,neutral
i feel we need to bear in mind though is that there are low cost resort rooms in europe and england if we look,sadness
@UniqueGuitarist ment to be doing hw but not going to happen!!! Ill pray for tia!  Rose is in the shower so sh.. http://bit.ly/VMv6U,surprise
Feeling very tierd! too much college work!!!!!!,neutral
@epicturtle i hope they can figure it out.,neutral
@luzy_artillero Hahaha. Sana someone's selling the full version of &quot;Coding Workshop Photo Recovery Wizard&quot; CD! Demo mode lang eh,surprise
i again feel like going out in a friendly and safe environment i am booking a flight to pe,joy
i will remember you as someone who i could feel so comfortable around,joy
once i was caught by thugs aged between,fear
i was involved in zenos story i only casually mentioned that it would make a good novel but now i really feel passionate about the idea,joy
i did feel unsure about it but thanks to l a lot of people liked it,fear
i hate the expectation that i must need a man in my life to feel worthwhile or valued,joy
"For the record, john mayer is freaking cool.",surprise
@littletiara haha dont we ever do that before  many times,neutral
i get the feeling people think im very whiney which i know i am,sadness
i had picked oxbow in the kentucky derby two weeks ago but he turned up as the longest bet for the preakness today and i just had a feeling that the lucas stevens combination wouldnt be beaten,sadness
"@mjvarela black is good... tight, or should I say too tight, not so good.",neutral
i guess i do feel the need to mention the realism of the just how tragic the hardship of everyday life in the mumbai slums really is,sadness
i didnt feel there was anything special about it,joy
@nicnicole nah i followed them first then they followed me. i think 12-306 overnight is pretty good,surprise
@supjoya they really do. it is a crying shame.,neutral
i feel awful,sadness
i didnt feel too much it was just casual,joy
i feel burdened with the guilt of burdening her with the burden of knowing about my burden,sadness
im trying to do better with my spending but i feel so deprived,sadness
i got some good feedback from my summary of uganda i still feel as though i missed out on a lot of things i had wanted to say that i hope ill be able to come back to later on,sadness
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger
one last stop in Chicago before going back to Miami,neutral
@lightgood Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,neutral
Just got back from baby sitting. It went well.,neutral
i understand that some of you will now feel a bit disturbed and unsure at this point,sadness
i feel have wronged me,anger
@MichelleZen you need to follow me so I could send you a direct message.,neutral
@theellenshow get @kalebnation the twilightguy on your show,surprise
i just feel so listless from the gloominess of it all,sadness
i respect his feelings and its unfortunate i cant return them but i feel like hes trying to creep closer and closer for the title of boyfriend as in,sadness
sitting at home...need to be pricing the garage sale items...but i have no help so its boring by myself,neutral
i feel empty inside like all my light has been drained,sadness
@mileycyrus is on the radio,neutral
i feel like i was assaulted by a titanium hedgehog,fear
i really dont think he looks at my blog too often so i feel pretty safe posting it this layout is full of a href http www,joy
i seriously hate one subject to death but now i feel reluctant to drop it,fear
i dont know why im feeling so listless,sadness
i feel super rad after eating it every time,joy
i could feel my body start to shake with nervous anticipation,fear
i have still been feeling numb i cant feel myself chewing or swallowing food,sadness
@Foxy_HotSawce owwwwww! gooood morning,neutral
i feel so divine to be so cared for,joy
i am pleased that only pgce qualified teachers can work here it makes the effort expense to gain mine feel worthwhile,joy
i feel absolutely defeated socially,sadness
i am back working with confidence and feeling terrific,joy
Went to see UP today - very disappointed - it was sad   Almost made me cry!  I thought it was supposed to be funny.,surprise
i might have folk over soon if im feeling brave,joy
i just got this overall feel from him that he was an elitist and somewhat jaded,sadness
i an expert on feeling rushed and anxious on getting worked up and frustrated because i feel overwhelmed with my job,anger
i get what shes saying but on another i feel pissed that she has to have a thick skin to put up with the crap women heap on each other,anger
i feel irritable as well,anger
"My guitar ain't herew yet?, feel like i lost a limb!.",surprise
@southbel took my computer in for a new dvd drive &amp; screen wouldn't come back on  Had to order new computer &amp; wait...,neutral
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,joy
i send an email and show my true feelings on an issue i do run risk of it being ignored,sadness
i feel bitter theofilou said of the lack of support to nods of agreement by kastrioti who waited for her turn to board,anger
i mean i know how it feels that a person is valued by the family if s he gives money or food to the table,joy
i have forgiven anyone who i feel has hurt me,sadness
when my elders do not understand me in the right way,sadness
i feel a mix of emotions lonely sad insecure angry,sadness
i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me,fear
@MyInnerBitch I can't @FakerParis has blocked me.  I can't even request,neutral
i feel that some violent natures are generic,anger
second song is coming along nicley,surprise
Well done doing blood work..its hot out again,surprise
i am feeling really bad for that guy,sadness
i feel like i got resentful and tired and i just wanted to talk to him so badly,anger
i feel i have to write about it it was truly innocent even though there was quite a bit of feeling involved,joy
new location for spam off! http://www.blogtv.com/People/xbecksx,neutral
Screen On The Green started yesterday!!!ahhh! i missed it!,surprise
i feel those memories are precious and i am so glad i have them,joy
i think its fair to say that in this life we all want to feel sincere connections with other people to experience bonding through similar beliefs or experiences to have true synchronicity with the people in our lives,joy
@mileycyrus voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you,neutral
stocked for tonight,neutral
im still feeling thankful and in that vein thought id celebrate blogging by sharing some moments experiences from this fall that i am grateful for,joy
i feel like theyre perfect if youre too lazy to fix your hair,joy
i was overcome with heat and i started feeling very weird,fear
i got a feel that the actors were very physically talented and skilled at presentational acting but had done little to no research into the backgrounds of their characters or that of wilder,joy
